Municipios,AÑO,Cacao,Café,Caña de azucar,Caña panelera,Plátano
Jamundì,2013,228.0,"1,586.0","9,168.3",50.0,80.0
La Cumbre,2013,0.0,767.0,0.0,47.5,332.0
La Unión,2013,0.0,498.2,"1,123.8",2.0,26.0
La Victoria,2013,50.0,0.0,"1,632.0",154.0,303.0
Obando,2013,36.0,"1,272.0","4,510.9",94.0,262.0
Palmira,2013,2.5,287.0,"33,783.6",0.0,114.0
Pradera,2013,0.0,0.0,"10,522.7",0.0,7.0
Restrepo,2013,0.0,791.0,0.0,331.0,638.0
Riofrìo,2013,65.0,"3,903.2","2,811.6",119.0,"3,486.0"
Roldanillo,2013,15.2,906.0,"1,766.0",23.0,59.0
San Pedro,2013,0.0,438.0,"4,354.8",470.0,0.0
Sevilla,2013,18.0,"7,420.0",63.4,233.0,"4,343.0"
Toro,2013,13.0,"2,565.0","1,654.4",0.0,103.0
Trujillo,2013,20.0,"4,321.6",133.6,40.0,"3,486.0"
Tuluà,2013,29.0,0.0,"8,130.4",33.0,472.0
Ulloa,2013,0.0,697.5,0.0,0.0,413.0
Versalles,2013,3.5,0.0,0.0,453.0,334.0
Vijes,2013,0.0,"1,030.0",130.2,53.0,177.0
Yotoco,2013,0.0,0.0,"3,295.0",76.0,"1,315.0"
Yumbo,2013,0.0,380.0,"1,596.9",11.0,24.0
Zarzal,2013,5.7,0.0,"17,099.0",37.0,16.0
Cali,2012,0.0,657.0,"5,726.0",0.0,35.0
Alcalá,2012,0.0,"1,443.5",0.0,30.0,547.0
Andalucia,2012,0.0,297.0,"3,289.4",0.0,0.0
Ansermanuevo,2012,38.6,"5,747.0","1,244.0",84.3,409.0
Argelia,2012,10.0,"2,714.0",0.0,125.0,"1,509.0"
Bolivar,2012,185.5,"1,715.0",424.8,389.0,391.0
Buenaventura,2012,66.0,0.0,0.0,246.0,142.0
Buga,2012,22.0,558.0,"4,060.6",106.0,480.0
Bugalagrande,2012,73.0,"1,905.0","8,851.0",436.0,245.0
Caicedonia,2012,13.0,"5,096.0",125.0,28.0,"2,689.0"
Calima Darién,2012,8.0,469.0,0.0,148.0,223.5
Candelaria,2012,4.0,0.0,"25,017.0","1,272.0",8.0
Cartago,2012,13.5,421.0,"3,901.8",51.0,160.0
Dagua,2012,41.0,"1,532.0",0.0,371.0,313.0
El Aguila,2012,145.0,"6,244.0",0.0,129.0,"1,392.0"
El Cairo,2012,6.0,"4,002.0",0.0,71.0,"5,129.0"
El Cerrito,2012,0.0,203.0,"16,857.0",332.0,0.0
El Dovio,2012,23.0,702.0,0.0,365.0,146.0
Florida,2012,18.0,"1,287.0","11,330.0",0.0,220.0
Ginebra,2012,0.0,912.0,"3,028.0",9.0,155.0
Guacarì,2012,5.0,525.0,"12,973.0",55.0,98.0
Jamundì,2012,217.9,"1,544.0","6,300.0",50.0,65.0
La Cumbre,2012,0.0,793.0,0.0,48.5,328.0
La Unión,2012,9.0,498.0,"1,361.1",9.0,25.0
La Victoria,2012,50.0,681.0,"1,343.4",204.0,295.0
Obando,2012,45.0,"1,221.0","4,606.0",106.0,242.0
Palmira,2012,0.0,394.0,"33,600.0",178.0,110.0
Pradera,2012,0.0,477.0,"11,354.0",0.0,10.0
Restrepo,2012,0.0,786.0,0.0,331.0,628.0
Riofrìo,2012,61.0,"3,292.0","3,021.0",109.0,"1,178.0"
Roldanillo,2012,20.7,907.0,"2,247.0",28.0,53.0
San Pedro,2012,0.0,463.0,"4,678.3",470.0,157.0
Sevilla,2012,18.0,"7,300.0",200.0,233.0,"4,294.0"
Toro,2012,13.0,"1,696.0","1,292.0",0.0,303.0
Trujillo,2012,26.0,"4,306.0",0.0,6.0,"2,954.0"
Tuluà,2012,69.0,"4,036.0","10,100.0",31.0,477.0
Ulloa,2012,11.0,809.0,0.0,32.0,528.0
Versalles,2012,1.5,"1,451.0",0.0,408.0,278.0
Vijes,2012,0.0,681.0,0.0,48.0,169.0
Yotoco,2012,0.0,"1,364.0","1,800.0",72.0,"1,277.0"
Yumbo,2012,0.0,323.0,"1,670.0",12.0,21.0
Zarzal,2012,5.7,0.0,"17,099.0",30.3,11.5
Cali,2011,0.0,652.5,"5,726.0",0.0,38.0
Alcalá,2011,0.0,"1,615.5",0.0,30.0,258.0
Andalucia,2011,0.0,302.2,"3,289.4",0.0,0.0
Ansermanuevo,2011,58.6,"5,956.8","1,729.7",86.0,445.0
Argelia,2011,13.0,"4,080.8",0.0,113.0,"1,472.0"
Bolivar,2011,165.5,"1,987.0",424.9,385.0,373.5
Buenaventura,2011,66.0,0.0,0.0,246.0,142.0
Buga,2011,22.0,584.4,"4,060.6",106.0,480.0
Bugalagrande,2011,73.0,"2,714.0","8,638.0",436.0,245.0
Caicedonia,2011,10.0,"5,635.0",125.0,28.0,"2,755.0"
Calima Darién,2011,8.0,929.5,0.0,150.0,211.5
Candelaria,2011,9.0,0.0,"25,342.0","1,272.0",7.0
Cartago,2011,13.5,499.2,"4,042.6",50.0,159.0
Dagua,2011,41.0,"1,657.0",0.0,371.0,49.0
El Aguila,2011,48.0,"6,175.5",0.0,129.0,"1,523.0"
El Cairo,2011,6.0,"4,316.0",0.0,71.0,"5,129.0"
El Cerrito,2011,0.0,166.0,"16,857.4",332.0,0.0
El Dovio,2011,23.0,"1,181.2",0.0,360.0,156.0
Florida,2011,18.0,922.0,"11,330.0",0.0,220.0
Ginebra,2011,0.0,"1,043.3","3,028.0",9.0,155.0
Guacarì,2011,5.0,593.0,"12,973.0",70.0,108.0
Jamundì,2011,246.0,"1,707.0","6,290.0",102.0,129.0
La Cumbre,2011,0.0,862.0,0.0,51.0,333.0
La Unión,2011,21.0,331.0,"1,291.0",0.0,26.0
La Victoria,2011,50.0,765.6,"1,343.4",204.0,295.0
Obando,2011,46.0,"1,552.8","4,129.0",105.0,237.0
Palmira,2011,0.0,279.0,"33,550.0",178.0,120.0
Pradera,2011,0.0,397.5,"11,354.0",0.0,10.0
Restrepo,2011,0.0,"1,198.5",0.0,361.0,625.0
Riofrìo,2011,61.0,"3,893.4","3,021.0",109.0,"1,178.0"
Roldanillo,2011,23.0,813.0,"1,508.0",35.0,43.8
San Pedro,2011,0.0,427.8,"4,598.3",460.0,157.0
Sevilla,2011,11.0,"7,420.0",150.0,158.0,"4,094.0"
Toro,2011,18.0,"2,135.0",980.0,0.0,302.0
Trujillo,2011,21.0,"5,011.9",0.0,30.0,923.0
Tuluà,2011,69.0,"3,916.0","9,785.0",29.0,472.0
Ulloa,2011,7.0,893.5,0.0,32.0,517.9
Versalles,2011,0.0,"1,616.0",0.0,445.4,331.7
Vijes,2011,0.0,968.0,0.0,40.0,154.0
Yotoco,2011,0.0,"1,658.0","1,800.1",72.0,"1,085.0"
Yumbo,2011,0.0,354.0,"1,670.2",14.0,26.0
Zarzal,2011,0.0,0.0,"17,099.0",25.0,10.3
Cali,2010,0.0,609.5,"5,726.0",0.0,42.0
Alcalá,2010,0.0,"1,596.0",0.0,80.0,380.0
Andalucia,2010,19.5,312.2,"2,689.4",537.0,75.0
Ansermanuevo,2010,53.6,"6,099.0","2,451.6",86.0,430.0
Argelia,2010,13.0,"3,169.4",0.0,110.0,"1,272.0"
Bolivar,2010,172.0,"1,903.0",576.9,381.0,371.0
Buenaventura,2010,59.0,0.0,0.0,250.0,142.0
Buga,2010,18.0,579.4,"4,066.6",106.0,480.0
Bugalagrande,2010,63.0,"2,480.0","8,638.0",436.0,245.0
Caicedonia,2010,10.0,"5,630.0",125.0,28.0,"2,704.0"
Calima Darién,2010,12.0,895.0,0.0,150.0,210.0
Candelaria,2010,9.0,0.0,"25,017.1","1,272.0",6.0
Cartago,2010,13.5,449.2,"3,328.6",112.0,157.0
Dagua,2010,41.0,"1,657.0",0.0,371.0,313.0
El Aguila,2010,46.0,"6,175.5",0.0,128.0,"1,473.0"
El Cairo,2010,6.0,"4,316.0",0.0,71.0,"4,614.6"
El Cerrito,2010,0.0,156.0,"16,787.4",332.0,0.0
